trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
1,2,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,1,6.44,100.0
2,4,0.5,7,7,1,3.8200000000000003,100.0
3,6,0.5,7,7,0,10.0,0.0
4,8,0.5,7,7,0,10.0,0.0
5,10,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,0,10.0,0.0
2,4,0.5,7,7,0,10.0,0.0
3,6,0.5,7,7,0,10.0,0.0
4,8,0.5,7,7,0,10.0,0.0
5,10,0.5,7,7,0,10.0,0.0
6,12,0.5,7,7,0,10.0,0.0
7,14,0.5,7,7,0,10.0,0.0
8,16,0.5,7,7,0,10.0,0.0
9,18,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,0,10.0,0.0
2,4,0.5,7,7,0,10.0,0.0
3,6,0.5,7,7,0,10.0,0.0
4,8,0.5,7,7,0,10.0,0.0
5,10,0.5,7,7,0,10.0,0.0
6,12,0.5,7,7,0,10.0,0.0
7,14,0.5,7,7,0,10.0,0.0
8,16,0.5,7,7,0,10.0,0.0
9,18,0.5,7,7,0,10.0,0.0
10,20,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,0,10.0,0.0
2,4,0.5,7,7,0,10.0,0.0
3,6,0.5,7,7,0,10.0,0.0
4,8,0.5,7,7,0,10.0,0.0
5,10,0.5,7,7,0,10.0,0.0
6,12,0.5,7,7,0,10.0,0.0
7,14,0.5,7,7,0,10.0,0.0
1,2,0.5,7,7,1,3.3000000000000003,100.0
2,4,0.5,7,7,1,3.22,100.0
3,6,0.5,7,7,1,3.8200000000000003,100.0
4,8,0.5,7,7,1,5.9,100.0
5,10,0.5,7,7,1,3.6,100.0
6,12,0.5,7,7,1,3.02,100.0
7,14,0.5,7,7,1,4.66,100.0
8,16,0.5,7,7,1,4.32,100.0
9,18,0.5,7,7,1,3.4,100.0
10,20,0.5,7,7,1,3.1,100.0
