trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
1,2,0.2,3,4,0,10.0,0.0
2,4,0.2,3,4,0,10.0,0.0
3,2,0.4,3,4,0,10.0,0.0
4,4,0.4,3,4,0,10.0,0.0
5,2,0.6,3,4,0,10.0,0.0
6,4,0.6,3,4,0,10.0,0.0
7,2,0.8,3,4,0,10.0,0.0
8,4,0.8,3,4,0,10.0,0.0
9,2,1.0,3,4,0,10.0,0.0
10,4,1.0,3,4,0,10.0,0.0
11,2,0.2,5,4,0,10.0,0.0
12,4,0.2,5,4,0,10.0,0.0
13,2,0.4,5,4,0,10.0,0.0
14,4,0.4,5,4,0,10.0,0.0
15,2,0.6,5,4,0,10.0,0.0
16,4,0.6,5,4,0,10.0,0.0
17,2,0.8,5,4,0,10.0,0.0
18,4,0.8,5,4,0,10.0,0.0
19,2,1.0,5,4,0,10.0,0.0
20,4,1.0,5,4,0,10.0,0.0
21,2,0.2,10,4,0,10.0,0.0
22,4,0.2,10,4,0,10.0,0.0
23,2,0.4,10,4,0,10.0,0.0
24,4,0.4,10,4,0,10.0,0.0
25,2,0.6,10,4,0,10.0,0.0
26,4,0.6,10,4,0,10.0,0.0
27,2,0.8,10,4,0,10.0,0.0
28,4,0.8,10,4,0,10.0,0.0
29,2,1.0,10,4,0,10.0,0.0
30,4,1.0,10,4,0,10.0,0.0
31,2,0.2,20,4,0,10.0,0.0
32,4,0.2,20,4,0,10.0,0.0
33,2,0.4,20,4,0,10.0,0.0
34,4,0.4,20,4,0,10.0,0.0
35,2,0.6,20,4,0,10.0,0.0
36,4,0.6,20,4,0,10.0,0.0
37,2,0.8,20,4,0,10.0,0.0
38,4,0.8,20,4,0,10.0,0.0
39,2,1.0,20,4,0,10.0,0.0
40,4,1.0,20,4,0,10.0,0.0
41,2,0.2,40,4,0,10.0,0.0
42,4,0.2,40,4,0,10.0,0.0
43,2,0.4,40,4,0,10.0,0.0
44,4,0.4,40,4,0,10.0,0.0
45,2,0.6,40,4,0,10.0,0.0
46,4,0.6,40,4,0,10.0,0.0
47,2,0.8,40,4,0,10.0,0.0
48,4,0.8,40,4,0,10.0,0.0
49,2,1.0,40,4,0,10.0,0.0
50,4,1.0,40,4,0,10.0,0.0
51,2,0.2,60,4,0,10.0,0.0
52,4,0.2,60,4,0,10.0,0.0
53,2,0.4,60,4,0,10.0,0.0
54,4,0.4,60,4,0,10.0,0.0
55,2,0.6,60,4,0,10.0,0.0
56,4,0.6,60,4,0,10.0,0.0
57,2,0.8,60,4,0,10.0,0.0
58,4,0.8,60,4,0,10.0,0.0
59,2,1.0,60,4,0,10.0,0.0
60,4,1.0,60,4,0,10.0,0.0
61,2,0.2,80,4,0,10.0,0.0
62,4,0.2,80,4,0,10.0,0.0
63,2,0.4,80,4,0,10.0,0.0
64,4,0.4,80,4,0,10.0,0.0
65,2,0.6,80,4,0,10.0,0.0
66,4,0.6,80,4,0,10.0,0.0
67,2,0.8,80,4,0,10.0,0.0
68,4,0.8,80,4,0,10.0,0.0
69,2,1.0,80,4,0,10.0,0.0
70,4,1.0,80,4,0,10.0,0.0
71,2,0.2,3,6,0,10.0,0.0
72,4,0.2,3,6,0,10.0,0.0
73,2,0.4,3,6,0,10.0,0.0
74,4,0.4,3,6,0,10.0,0.0
75,2,0.6,3,6,0,10.0,0.0
76,4,0.6,3,6,0,10.0,0.0
77,2,0.8,3,6,0,10.0,0.0
78,4,0.8,3,6,0,10.0,0.0
79,2,1.0,3,6,0,10.0,0.0
80,4,1.0,3,6,0,10.0,0.0
81,2,0.2,5,6,0,10.0,0.0
82,4,0.2,5,6,0,10.0,0.0
83,2,0.4,5,6,0,10.0,0.0
84,4,0.4,5,6,0,10.0,0.0
85,2,0.6,5,6,0,10.0,0.0
86,4,0.6,5,6,0,10.0,0.0
87,2,0.8,5,6,0,10.0,0.0
88,4,0.8,5,6,0,10.0,0.0
89,2,1.0,5,6,0,10.0,0.0
90,4,1.0,5,6,0,10.0,0.0
91,2,0.2,10,6,0,10.0,0.0
92,4,0.2,10,6,0,10.0,0.0
93,2,0.4,10,6,0,10.0,0.0
94,4,0.4,10,6,0,10.0,0.0
95,2,0.6,10,6,0,10.0,0.0
96,4,0.6,10,6,0,10.0,0.0
97,2,0.8,10,6,0,10.0,0.0
98,4,0.8,10,6,0,10.0,0.0
99,2,1.0,10,6,0,10.0,0.0
100,4,1.0,10,6,0,10.0,0.0
101,2,0.2,20,6,0,10.0,0.0
102,4,0.2,20,6,0,10.0,0.0
103,2,0.4,20,6,0,10.0,0.0
104,4,0.4,20,6,0,10.0,0.0
105,2,0.6,20,6,0,10.0,0.0
106,4,0.6,20,6,0,10.0,0.0
107,2,0.8,20,6,0,10.0,0.0
108,4,0.8,20,6,0,10.0,0.0
109,2,1.0,20,6,0,10.0,0.0
110,4,1.0,20,6,0,10.0,0.0
111,2,0.2,40,6,0,10.0,0.0
112,4,0.2,40,6,0,10.0,0.0
113,2,0.4,40,6,0,10.0,0.0
114,4,0.4,40,6,0,10.0,0.0
115,2,0.6,40,6,0,10.0,0.0
116,4,0.6,40,6,0,10.0,0.0
117,2,0.8,40,6,0,10.0,0.0
118,4,0.8,40,6,0,10.0,0.0
119,2,1.0,40,6,0,10.0,0.0
120,4,1.0,40,6,0,10.0,0.0
121,2,0.2,60,6,0,10.0,0.0
122,4,0.2,60,6,0,10.0,0.0
123,2,0.4,60,6,0,10.0,0.0
124,4,0.4,60,6,0,10.0,0.0
125,2,0.6,60,6,0,10.0,0.0
126,4,0.6,60,6,0,10.0,0.0
127,2,0.8,60,6,0,10.0,0.0
128,4,0.8,60,6,0,10.0,0.0
129,2,1.0,60,6,0,10.0,0.0
130,4,1.0,60,6,0,10.0,0.0
131,2,0.2,80,6,0,10.0,0.0
132,4,0.2,80,6,0,10.0,0.0
133,2,0.4,80,6,0,10.0,0.0
134,4,0.4,80,6,0,10.0,0.0
135,2,0.6,80,6,0,10.0,0.0
136,4,0.6,80,6,0,10.0,0.0
137,2,0.8,80,6,0,10.0,0.0
138,4,0.8,80,6,0,10.0,0.0
139,2,1.0,80,6,0,10.0,0.0
140,4,1.0,80,6,0,10.0,0.0
141,2,0.2,3,8,0,10.0,0.0
142,4,0.2,3,8,0,10.0,0.0
143,2,0.4,3,8,0,10.0,0.0
144,4,0.4,3,8,0,10.0,0.0
145,2,0.6,3,8,0,10.0,0.0
146,4,0.6,3,8,0,10.0,0.0
147,2,0.8,3,8,0,10.0,0.0
148,4,0.8,3,8,0,10.0,0.0
149,2,1.0,3,8,0,10.0,0.0
150,4,1.0,3,8,0,10.0,0.0
151,2,0.2,5,8,0,10.0,0.0
152,4,0.2,5,8,0,10.0,0.0
153,2,0.4,5,8,0,10.0,0.0
154,4,0.4,5,8,0,10.0,0.0
155,2,0.6,5,8,0,10.0,0.0
156,4,0.6,5,8,0,10.0,0.0
157,2,0.8,5,8,0,10.0,0.0
158,4,0.8,5,8,0,10.0,0.0
159,2,1.0,5,8,0,10.0,0.0
160,4,1.0,5,8,0,10.0,0.0
161,2,0.2,10,8,0,10.0,0.0
162,4,0.2,10,8,0,10.0,0.0
163,2,0.4,10,8,0,10.0,0.0
164,4,0.4,10,8,0,10.0,0.0
165,2,0.6,10,8,0,10.0,0.0
166,4,0.6,10,8,0,10.0,0.0
167,2,0.8,10,8,0,10.0,0.0
168,4,0.8,10,8,0,10.0,0.0
169,2,1.0,10,8,0,10.0,0.0
170,4,1.0,10,8,0,10.0,0.0
171,2,0.2,20,8,0,10.0,0.0
172,4,0.2,20,8,0,10.0,0.0
173,2,0.4,20,8,0,10.0,0.0
174,4,0.4,20,8,0,10.0,0.0
175,2,0.6,20,8,0,10.0,0.0
176,4,0.6,20,8,0,10.0,0.0
177,2,0.8,20,8,0,10.0,0.0
178,4,0.8,20,8,0,10.0,0.0
179,2,1.0,20,8,0,10.0,0.0
180,4,1.0,20,8,0,10.0,0.0
181,2,0.2,40,8,0,10.0,0.0
182,4,0.2,40,8,0,10.0,0.0
183,2,0.4,40,8,0,10.0,0.0
184,4,0.4,40,8,0,10.0,0.0
185,2,0.6,40,8,0,10.0,0.0
186,4,0.6,40,8,0,10.0,0.0
187,2,0.8,40,8,0,10.0,0.0
188,4,0.8,40,8,0,10.0,0.0
189,2,1.0,40,8,0,10.0,0.0
190,4,1.0,40,8,0,10.0,0.0
191,2,0.2,60,8,0,10.0,0.0
192,4,0.2,60,8,0,10.0,0.0
193,2,0.4,60,8,0,10.0,0.0
194,4,0.4,60,8,0,10.0,0.0
195,2,0.6,60,8,0,10.0,0.0
196,4,0.6,60,8,0,10.0,0.0
197,2,0.8,60,8,0,10.0,0.0
198,4,0.8,60,8,0,10.0,0.0
199,2,1.0,60,8,0,10.0,0.0
200,4,1.0,60,8,0,10.0,0.0
201,2,0.2,80,8,0,10.0,0.0
202,4,0.2,80,8,0,10.0,0.0
203,2,0.4,80,8,0,10.0,0.0
204,4,0.4,80,8,0,10.0,0.0
205,2,0.6,80,8,0,10.0,0.0
206,4,0.6,80,8,0,10.0,0.0
207,2,0.8,80,8,0,10.0,0.0
208,4,0.8,80,8,0,10.0,0.0
209,2,1.0,80,8,0,10.0,0.0
210,4,1.0,80,8,0,10.0,0.0
211,2,0.2,3,10,0,10.0,0.0
212,4,0.2,3,10,0,10.0,0.0
213,2,0.4,3,10,0,10.0,0.0
214,4,0.4,3,10,0,10.0,0.0
215,2,0.6,3,10,0,10.0,0.0
216,4,0.6,3,10,0,10.0,0.0
217,2,0.8,3,10,0,10.0,0.0
218,4,0.8,3,10,0,10.0,0.0
219,2,1.0,3,10,0,10.0,0.0
220,4,1.0,3,10,0,10.0,0.0
221,2,0.2,5,10,0,10.0,0.0
222,4,0.2,5,10,0,10.0,0.0
223,2,0.4,5,10,0,10.0,0.0
224,4,0.4,5,10,0,10.0,0.0
225,2,0.6,5,10,0,10.0,0.0
226,4,0.6,5,10,0,10.0,0.0
227,2,0.8,5,10,0,10.0,0.0
228,4,0.8,5,10,0,10.0,0.0
229,2,1.0,5,10,0,10.0,0.0
230,4,1.0,5,10,0,10.0,0.0
231,2,0.2,10,10,0,10.0,0.0
232,4,0.2,10,10,0,10.0,0.0
233,2,0.4,10,10,0,10.0,0.0
234,4,0.4,10,10,0,10.0,0.0
235,2,0.6,10,10,0,10.0,0.0
236,4,0.6,10,10,0,10.0,0.0
237,2,0.8,10,10,0,10.0,0.0
238,4,0.8,10,10,0,10.0,0.0
239,2,1.0,10,10,0,10.0,0.0
240,4,1.0,10,10,0,10.0,0.0
241,2,0.2,20,10,0,10.0,0.0
242,4,0.2,20,10,0,10.0,0.0
243,2,0.4,20,10,0,10.0,0.0
244,4,0.4,20,10,0,10.0,0.0
245,2,0.6,20,10,0,10.0,0.0
246,4,0.6,20,10,0,10.0,0.0
247,2,0.8,20,10,0,10.0,0.0
248,4,0.8,20,10,0,10.0,0.0
249,2,1.0,20,10,0,10.0,0.0
250,4,1.0,20,10,0,10.0,0.0
251,2,0.2,40,10,0,10.0,0.0
252,4,0.2,40,10,0,10.0,0.0
253,2,0.4,40,10,0,10.0,0.0
254,4,0.4,40,10,0,10.0,0.0
255,2,0.6,40,10,0,10.0,0.0
256,4,0.6,40,10,0,10.0,0.0
257,2,0.8,40,10,0,10.0,0.0
258,4,0.8,40,10,0,10.0,0.0
259,2,1.0,40,10,0,10.0,0.0
260,4,1.0,40,10,0,10.0,0.0
261,2,0.2,60,10,0,10.0,0.0
262,4,0.2,60,10,0,10.0,0.0
263,2,0.4,60,10,0,10.0,0.0
264,4,0.4,60,10,0,10.0,0.0
265,2,0.6,60,10,0,10.0,0.0
266,4,0.6,60,10,0,10.0,0.0
267,2,0.8,60,10,0,10.0,0.0
268,4,0.8,60,10,0,10.0,0.0
269,2,1.0,60,10,0,10.0,0.0
270,4,1.0,60,10,0,10.0,0.0
271,2,0.2,80,10,0,10.0,0.0
272,4,0.2,80,10,0,10.0,0.0
273,2,0.4,80,10,0,10.0,0.0
274,4,0.4,80,10,0,10.0,0.0
275,2,0.6,80,10,0,10.0,0.0
276,4,0.6,80,10,0,10.0,0.0
277,2,0.8,80,10,0,10.0,0.0
278,4,0.8,80,10,0,10.0,0.0
279,2,1.0,80,10,0,10.0,0.0
280,4,1.0,80,10,0,10.0,0.0
281,2,0.2,3,12,0,10.0,0.0
282,4,0.2,3,12,0,10.0,0.0
283,2,0.4,3,12,0,10.0,0.0
284,4,0.4,3,12,0,10.0,0.0
285,2,0.6,3,12,0,10.0,0.0
286,4,0.6,3,12,0,10.0,0.0
287,2,0.8,3,12,0,10.0,0.0
288,4,0.8,3,12,0,10.0,0.0
289,2,1.0,3,12,0,10.0,0.0
290,4,1.0,3,12,0,10.0,0.0
291,2,0.2,5,12,0,10.0,0.0
292,4,0.2,5,12,0,10.0,0.0
293,2,0.4,5,12,0,10.0,0.0
294,4,0.4,5,12,0,10.0,0.0
295,2,0.6,5,12,0,10.0,0.0
296,4,0.6,5,12,0,10.0,0.0
297,2,0.8,5,12,0,10.0,0.0
298,4,0.8,5,12,0,10.0,0.0
299,2,1.0,5,12,0,10.0,0.0
300,4,1.0,5,12,0,10.0,0.0
301,2,0.2,10,12,0,10.0,0.0
302,4,0.2,10,12,0,10.0,0.0
303,2,0.4,10,12,0,10.0,0.0
304,4,0.4,10,12,0,10.0,0.0
305,2,0.6,10,12,0,10.0,0.0
306,4,0.6,10,12,0,10.0,0.0
307,2,0.8,10,12,0,10.0,0.0
308,4,0.8,10,12,0,10.0,0.0
309,2,1.0,10,12,0,10.0,0.0
310,4,1.0,10,12,0,10.0,0.0
311,2,0.2,20,12,0,10.0,0.0
312,4,0.2,20,12,0,10.0,0.0
313,2,0.4,20,12,0,10.0,0.0
314,4,0.4,20,12,0,10.0,0.0
315,2,0.6,20,12,0,10.0,0.0
316,4,0.6,20,12,0,10.0,0.0
317,2,0.8,20,12,0,10.0,0.0
318,4,0.8,20,12,0,10.0,0.0
319,2,1.0,20,12,0,10.0,0.0
320,4,1.0,20,12,0,10.0,0.0
321,2,0.2,40,12,0,10.0,0.0
322,4,0.2,40,12,0,10.0,0.0
323,2,0.4,40,12,0,10.0,0.0
324,4,0.4,40,12,0,10.0,0.0
325,2,0.6,40,12,0,10.0,0.0
326,4,0.6,40,12,0,10.0,0.0
327,2,0.8,40,12,0,10.0,0.0
328,4,0.8,40,12,0,10.0,0.0
329,2,1.0,40,12,0,10.0,0.0
330,4,1.0,40,12,0,10.0,0.0
331,2,0.2,60,12,0,10.0,0.0
332,4,0.2,60,12,0,10.0,0.0
333,2,0.4,60,12,0,10.0,0.0
334,4,0.4,60,12,0,10.0,0.0
335,2,0.6,60,12,0,10.0,0.0
336,4,0.6,60,12,0,10.0,0.0
337,2,0.8,60,12,0,10.0,0.0
338,4,0.8,60,12,0,10.0,0.0
339,2,1.0,60,12,0,10.0,0.0
340,4,1.0,60,12,0,10.0,0.0
341,2,0.2,80,12,0,10.0,0.0
342,4,0.2,80,12,0,10.0,0.0
343,2,0.4,80,12,0,10.0,0.0
344,4,0.4,80,12,0,10.0,0.0
345,2,0.6,80,12,0,10.0,0.0
346,4,0.6,80,12,0,10.0,0.0
347,2,0.8,80,12,0,10.0,0.0
348,4,0.8,80,12,0,10.0,0.0
349,2,1.0,80,12,0,10.0,0.0
350,4,1.0,80,12,0,10.0,0.0
351,2,0.2,3,4,0,10.0,0.0
352,4,0.2,3,4,0,10.0,0.0
353,2,0.4,3,4,0,10.0,0.0
354,4,0.4,3,4,0,10.0,0.0
355,2,0.6,3,4,0,10.0,0.0
356,4,0.6,3,4,0,10.0,0.0
357,2,0.8,3,4,0,10.0,0.0
358,4,0.8,3,4,0,10.0,0.0
