trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio
1,2,0.2,3,4,0,10.0,0.0,27.400000000000002
2,4,0.2,3,4,0,10.0,0.0,28.999999999999996
3,2,0.4,3,4,0,10.0,0.0,25.6
4,4,0.4,3,4,1,6.92,100.0,20.23121387283237
5,2,0.6,3,4,1,4.62,100.0,25.97402597402597
6,4,0.6,3,4,1,4.1,100.0,21.951219512195124
7,2,0.8,3,4,1,5.16,100.0,27.51937984496124
8,4,0.8,3,4,1,7.22,100.0,27.146814404432135
9,2,1.0,3,4,1,2.94,100.0,18.367346938775512
10,4,1.0,3,4,1,3.3200000000000003,100.0,22.289156626506024
11,2,0.2,5,4,0,10.0,0.0,30.2
12,4,0.2,5,4,0,10.0,0.0,31.4
13,2,0.4,5,4,0,10.0,0.0,28.000000000000004
14,4,0.4,5,4,0,10.0,0.0,31.0
15,2,0.6,5,4,1,2.9,100.0,22.758620689655174
16,4,0.6,5,4,1,5.3,100.0,27.547169811320753
17,2,0.8,5,4,1,3.48,100.0,26.436781609195403
18,4,0.8,5,4,1,6.38,100.0,28.84012539184953
19,2,1.0,5,4,1,2.48,100.0,14.516129032258066
20,4,1.0,5,4,1,2.24,100.0,25.0
21,2,0.2,10,4,0,10.0,0.0,31.4
22,4,0.2,10,4,0,10.0,0.0,31.4
23,2,0.4,10,4,0,10.0,0.0,31.0
24,4,0.4,10,4,0,10.0,0.0,31.4
25,2,0.6,10,4,0,10.0,0.0,31.0
26,4,0.6,10,4,0,10.0,0.0,31.4
27,2,0.8,10,4,0,10.0,0.0,31.2
28,4,0.8,10,4,0,10.0,0.0,30.4
29,2,1.0,10,4,0,10.0,0.0,31.4
30,4,1.0,10,4,1,9.8,100.0,30.0
31,2,0.2,20,4,0,10.0,0.0,32.0
32,4,0.2,20,4,0,10.0,0.0,27.0
33,2,0.4,20,4,0,10.0,0.0,32.0
34,4,0.4,20,4,0,10.0,0.0,27.6
35,2,0.6,20,4,0,10.0,0.0,27.800000000000004
36,4,0.6,20,4,0,10.0,0.0,31.8
37,2,0.8,20,4,0,10.0,0.0,28.999999999999996
38,4,0.8,20,4,0,10.0,0.0,23.200000000000003
39,2,1.0,20,4,0,10.0,0.0,32.2
40,4,1.0,20,4,0,10.0,0.0,23.0
41,2,0.2,40,4,0,10.0,0.0,4.0
42,4,0.2,40,4,0,10.0,0.0,3.5999999999999996
43,2,0.4,40,4,0,10.0,0.0,4.6
44,4,0.4,40,4,0,10.0,0.0,8.6
45,2,0.6,40,4,0,10.0,0.0,6.0
46,4,0.6,40,4,0,10.0,0.0,5.6000000000000005
47,2,0.8,40,4,0,10.0,0.0,22.2
48,4,0.8,40,4,0,10.0,0.0,6.2
49,2,1.0,40,4,0,10.0,0.0,30.4
50,4,1.0,40,4,0,10.0,0.0,24.4
51,2,0.2,3,6,0,10.0,0.0,19.6
52,4,0.2,3,6,0,10.0,0.0,22.6
53,2,0.4,3,6,0,10.0,0.0,25.0
54,4,0.4,3,6,0,10.0,0.0,25.2
55,2,0.6,3,6,0,10.0,0.0,25.6
56,4,0.6,3,6,0,10.0,0.0,25.2
57,2,0.8,3,6,1,5.04,100.0,22.22222222222222
