trial_id,deadzone_px,target_size,target_speed,target_distance,success,time_to_lock,hit_ratio,
1,2,0.2,3,4,0,10.0,0.0,82.92682926829268
2,4,0.2,3,4,0,10.0,0.0,39.03903903903904
3,2,0.4,3,4,1,3.56,100.0,5.852417302798982
4,4,0.4,3,4,1,4.4,100.0,4.925053533190578
5,2,0.6,3,4,1,3.38,100.0,4.198473282442748
6,4,0.6,3,4,1,2.64,100.0,3.163444639718805
7,2,0.8,3,4,1,2.94,100.0,2.912621359223301
8,4,0.8,3,4,1,3.3200000000000003,100.0,2.6706231454005933
9,2,1.0,3,4,1,3.02,100.0,2.0689655172413794
10,4,1.0,3,4,1,2.48,100.0,1.955671447196871
11,2,0.2,5,4,0,10.0,0.0,14.453961456102785
12,4,0.2,5,4,0,10.0,0.0,11.989100817438691
13,2,0.4,5,4,1,6.92,100.0,6.820049301561217
14,4,0.4,5,4,1,3.08,100.0,1.8124507486209613
15,2,0.6,5,4,1,3.02,100.0,1.7424242424242427
16,4,0.6,5,4,1,2.66,100.0,1.611721611721612
17,2,0.8,5,4,1,2.06,100.0,1.2857142857142856
18,4,0.8,5,4,1,2.6,100.0,1.2465373961218837
19,2,1.0,5,4,1,2.34,100.0,1.0107816711590296
20,4,1.0,5,4,1,1.96,100.0,0.988793671720501
21,2,0.2,10,4,0,10.0,0.0,9.323040380047507
22,4,0.2,10,4,0,10.0,0.0,8.373851971907078
23,2,0.4,10,4,0,10.0,0.0,7.730426164519326
24,4,0.4,10,4,0,10.0,0.0,6.864988558352403
25,2,0.6,10,4,1,3.08,100.0,1.475189986589182
26,4,0.6,10,4,1,2.36,100.0,1.3175230566534915
27,2,0.8,10,4,1,2.0,100.0,0.99524015577672
28,4,0.8,10,4,1,1.8800000000000001,100.0,0.9389671361502347
29,2,1.0,10,4,1,1.4000000000000001,100.0,0.6337135614702154
30,4,1.0,10,4,1,1.34,100.0,0.6276150627615062
31,2,0.2,20,4,0,10.0,0.0,6.257332811888933
32,4,0.2,20,4,0,10.0,0.0,5.800293685756241
33,2,0.4,20,4,0,10.0,0.0,5.430646835005189
34,4,0.4,20,4,0,10.0,0.0,5.13407455853499
35,2,0.6,20,4,0,10.0,0.0,4.8062015503875966
36,4,0.6,20,4,0,10.0,0.0,4.658018867924528
37,2,0.8,20,4,1,2.96,100.0,1.1621150493898895
38,4,0.8,20,4,0,10.0,0.0,4.381586245146978
39,2,1.0,20,4,1,4.5200000000000005,100.0,1.8201575658788371
40,4,1.0,20,4,1,2.06,100.0,0.8073196986006458
41,2,0.2,40,4,0,10.0,0.0,0.6180788050476436
42,4,0.2,40,4,0,10.0,0.0,0.592885375494071
43,2,0.4,40,4,0,10.0,0.0,0.5936832106388031
44,4,0.4,40,4,0,10.0,0.0,3.7688442211055273
45,2,0.6,40,4,0,10.0,0.0,0.6819181698196217
46,4,0.6,40,4,0,10.0,0.0,0.552134211085156
47,2,0.8,40,4,0,10.0,0.0,3.383921246923708
48,4,0.8,40,4,0,10.0,0.0,0.594883997620464
49,2,1.0,40,4,0,10.0,0.0,3.1861804222648753
50,4,1.0,40,4,0,10.0,0.0,0.650920587688302
51,2,0.2,3,6,0,10.0,0.0,1.6414141414141417
52,4,0.2,3,6,0,10.0,0.0,2.04867798984416
53,2,0.4,3,6,1,4.4,100.0,0.3630705394190871
54,4,0.4,3,6,1,3.92,100.0,0.37606837606837606
55,2,0.6,3,6,1,3.5,100.0,0.3553900829243527
56,4,0.6,3,6,1,3.38,100.0,0.31857813547954394
57,2,0.8,3,6,1,3.7,100.0,0.33200531208499334
58,4,0.8,3,6,1,3.44,100.0,0.31260282987824944
59,2,1.0,3,6,1,3.66,100.0,0.27696318018898664
60,4,1.0,3,6,1,4.2,100.0,0.2578150177247825
61,2,0.2,5,6,0,10.0,0.0,2.243841205083948
62,4,0.2,5,6,0,10.0,0.0,2.1257072946933784
63,2,0.4,5,6,1,3.8000000000000003,100.0,0.4694835680751174
64,4,0.4,5,6,1,3.8200000000000003,100.0,0.4649767511624419
65,2,0.6,5,6,1,2.96,100.0,0.31263957123715946
66,4,0.6,5,6,1,3.02,100.0,0.31028368794326244
67,2,0.8,5,6,1,2.7600000000000002,100.0,0.24948635162899913
68,4,0.8,5,6,1,3.24,100.0,0.21837239772892705
69,2,1.0,5,6,1,2.6,100.0,0.21698249674526252
70,4,1.0,5,6,1,2.72,100.0,0.21554821094984913
