trial,image_id,pos_x,pos_y,shown_at,fire_received,time_to_fire_s,result_code,result_label
1,F_3,1181,710,2026-07-30T19:41:05.159,True,37.172,1,적중
2,F_2,952,453,2026-07-30T19:41:47.532,False,,3,미검출
3,F_2,1069,607,2026-07-30T19:42:26.416,True,35.641,1,적중
4,F_2,1147,659,2026-07-30T19:43:27.531,True,3.922,1,적중
5,F_2,795,634,2026-07-30T19:43:36.672,True,11.891,2,미적중
6,F_3,889,374,2026-07-30T19:43:52.905,True,0.094,1,적중
7,F_3,1077,706,2026-07-30T19:44:00.795,True,8.672,1,적중
8,F_2,1149,493,2026-07-30T19:44:15.408,True,5.532,1,적중
9,F_2,1218,743,2026-07-30T19:44:24.650,True,0.094,1,적중
10,F_2,1061,662,2026-07-30T19:45:15.737,True,42.578,1,적중
11,F_3,806,690,2026-07-30T19:46:03.031,True,0.11,2,미적중
12,F_3,910,392,2026-07-30T19:46:42.519,True,15.187,2,미적중
13,F_2,826,439,2026-07-30T19:47:02.116,False,,3,미검출
14,F_3,1091,626,2026-07-30T19:47:16.453,True,31.813,1,적중
15,F_3,712,427,2026-07-30T19:47:52.455,True,0.313,2,미적중
16,F_3,1212,361,2026-07-30T19:48:00.712,True,17.625,1,적중
17,F_2,681,337,2026-07-30T19:48:33.200,True,4.125,2,미적중
18,F_2,1014,587,2026-07-30T19:48:42.513,True,8.562,1,적중
19,F_3,728,743,2026-07-30T19:48:57.951,True,0.5,2,미적중
20,F_3,927,445,2026-07-30T19:49:35.973,True,49.891,1,적중
