trial,image_id,pos_x,pos_y,shown_at,fire_received,time_to_fire_s,result_code,result_label
1,F_2,1081,370,2026-07-31T12:58:55.894,False,,1,적중
2,F_3,1000,531,2026-07-31T13:00:23.917,False,,2,미적중
3,F_3,744,687,2026-07-31T13:01:33.146,False,,2,미적중
4,F_2,1094,348,2026-07-31T13:01:52.111,False,,3,미검출
5,F_2,1015,607,2026-07-31T13:02:38.333,False,,1,적중
6,F_3,913,561,2026-07-31T13:02:52.666,False,,3,미검출
7,F_2,943,505,2026-07-31T13:03:11.951,False,,4,오검출
8,F_2,1189,484,2026-07-31T13:03:29.971,False,,1,적중
9,F_3,710,413,2026-07-31T13:03:39.546,False,,3,미검출
10,F_3,865,591,2026-07-31T13:03:55.710,False,,4,오검출
11,F_3,917,337,2026-07-31T13:04:34.624,False,,3,미검출
12,F_3,1145,712,2026-07-31T13:04:55.689,False,,1,적중
13,F_2,1231,522,2026-07-31T13:05:05.333,False,,2,미적중
14,F_2,1058,720,2026-07-31T13:05:14.964,False,,1,적중
15,F_2,923,433,2026-07-31T13:05:24.105,False,,3,미검출
16,F_3,1085,572,2026-07-31T13:05:53.415,False,,1,적중
17,F_3,1218,370,2026-07-31T13:06:07.560,False,,3,미검출
18,F_2,817,496,2026-07-31T13:06:20.897,False,,1,적중
19,F_3,816,706,2026-07-31T13:06:41.657,False,,3,미검출
20,F_2,800,380,2026-07-31T13:06:58.647,False,,3,미검출
